"","Decad","var","province","cnt.total","year","decad.name"
"210",27,"planting_end","Muchinga",0,"2021",2021-09-22
"211",28,"planting_end","Muchinga",0,"2021",2021-10-02
"212",29,"planting_end","Muchinga",0,"2021",2021-10-12
"213",30,"planting_end","Muchinga",0,"2021",2021-10-22
"214",31,"planting_end","Muchinga",0,"2021",2021-11-02
"215",33,"planting_end","Muchinga",0,"2021",2021-11-22
"216",34,"planting_end","Muchinga",0,"2021",2021-12-02
"217",1,"planting_end","North-Western",14,"2021",2022-01-01
"218",2,"planting_end","North-Western",23,"2021",2022-01-11
"219",3,"planting_end","North-Western",1,"2021",2022-01-21
"220",5,"planting_end","North-Western",1,"2021",2022-02-11
"221",33,"planting_end","North-Western",1,"2021",2021-11-22
"222",34,"planting_end","North-Western",1,"2021",2021-12-02
"223",35,"planting_end","North-Western",6,"2021",2021-12-12
"224",36,"planting_end","North-Western",21,"2021",2021-12-22
"225",4,"planting_end","North-Western",0,"2021",2022-02-01
"226",6,"planting_end","North-Western",0,"2021",2022-02-21
"227",7,"planting_end","North-Western",0,"2021",2022-03-02
"228",8,"planting_end","North-Western",0,"2021",2022-03-12
"229",9,"planting_end","North-Western",0,"2021",2022-03-22
"230",10,"planting_end","North-Western",0,"2021",2022-04-02
"231",11,"planting_end","North-Western",0,"2021",2022-04-12
"232",12,"planting_end","North-Western",0,"2021",2022-04-22
"233",13,"planting_end","North-Western",0,"2021",2022-05-02
"234",14,"planting_end","North-Western",0,"2021",2022-05-12
"235",15,"planting_end","North-Western",0,"2021",2022-05-22
"236",16,"planting_end","North-Western",0,"2021",2022-06-02
"237",17,"planting_end","North-Western",0,"2021",2022-06-12
"238",18,"planting_end","North-Western",0,"2021",2022-06-22
"239",19,"planting_end","North-Western",0,"2021",2022-07-02
"240",20,"planting_end","North-Western",0,"2021",2022-07-12
"241",21,"planting_end","North-Western",0,"2021",2022-07-22
"242",22,"planting_end","North-Western",0,"2021",2022-08-02
"243",23,"planting_end","North-Western",0,"2021",2022-08-12
"244",24,"planting_end","North-Western",0,"2021",2022-08-22
"245",25,"planting_end","North-Western",0,"2021",2021-09-02
"246",26,"planting_end","North-Western",0,"2021",2021-09-12
"247",27,"planting_end","North-Western",0,"2021",2021-09-22
"248",28,"planting_end","North-Western",0,"2021",2021-10-02
"249",29,"planting_end","North-Western",0,"2021",2021-10-12
"250",30,"planting_end","North-Western",0,"2021",2021-10-22
"251",31,"planting_end","North-Western",0,"2021",2021-11-02
"252",32,"planting_end","North-Western",0,"2021",2021-11-12
"253",1,"planting_end","Northern",21,"2021",2022-01-01
"254",2,"planting_end","Northern",9,"2021",2022-01-11
"255",4,"planting_end","Northern",3,"2021",2022-02-01
"256",5,"planting_end","Northern",6,"2021",2022-02-11
"257",6,"planting_end","Northern",2,"2021",2022-02-21
"258",7,"planting_end","Northern",2,"2021",2022-03-02
"259",8,"planting_end","Northern",2,"2021",2022-03-12
"260",11,"planting_end","Northern",1,"2021",2022-04-12
"261",34,"planting_end","Northern",1,"2021",2021-12-02
"262",35,"planting_end","Northern",14,"2021",2021-12-12
"263",36,"planting_end","Northern",15,"2021",2021-12-22
"264",3,"planting_end","Northern",0,"2021",2022-01-21
"265",9,"planting_end","Northern",0,"2021",2022-03-22
"266",10,"planting_end","Northern",0,"2021",2022-04-02
"267",12,"planting_end","Northern",0,"2021",2022-04-22
"268",13,"planting_end","Northern",0,"2021",2022-05-02
"269",14,"planting_end","Northern",0,"2021",2022-05-12
"270",15,"planting_end","Northern",0,"2021",2022-05-22
"271",16,"planting_end","Northern",0,"2021",2022-06-02
"272",17,"planting_end","Northern",0,"2021",2022-06-12
"273",18,"planting_end","Northern",0,"2021",2022-06-22
"274",19,"planting_end","Northern",0,"2021",2022-07-02
"275",20,"planting_end","Northern",0,"2021",2022-07-12
"276",21,"planting_end","Northern",0,"2021",2022-07-22
"277",22,"planting_end","Northern",0,"2021",2022-08-02
"278",23,"planting_end","Northern",0,"2021",2022-08-12
"279",24,"planting_end","Northern",0,"2021",2022-08-22
"280",25,"planting_end","Northern",0,"2021",2021-09-02
"281",26,"planting_end","Northern",0,"2021",2021-09-12
"282",27,"planting_end","Northern",0,"2021",2021-09-22
"283",28,"planting_end","Northern",0,"2021",2021-10-02
"284",29,"planting_end","Northern",0,"2021",2021-10-12
"285",30,"planting_end","Northern",0,"2021",2021-10-22
"286",31,"planting_end","Northern",0,"2021",2021-11-02
"287",32,"planting_end","Northern",0,"2021",2021-11-12
"288",33,"planting_end","Northern",0,"2021",2021-11-22
"289",1,"planting_end","Southern",16,"2021",2022-01-01
"290",2,"planting_end","Southern",37,"2021",2022-01-11
"291",3,"planting_end","Southern",8,"2021",2022-01-21
"292",4,"planting_end","Southern",1,"2021",2022-02-01
"293",5,"planting_end","Southern",5,"2021",2022-02-11
"294",6,"planting_end","Southern",2,"2021",2022-02-21
"295",32,"planting_end","Southern",1,"2021",2021-11-12
"296",34,"planting_end","Southern",1,"2021",2021-12-02
"297",35,"planting_end","Southern",1,"2021",2021-12-12
"298",36,"planting_end","Southern",12,"2021",2021-12-22
"299",7,"planting_end","Southern",0,"2021",2022-03-02
"300",8,"planting_end","Southern",0,"2021",2022-03-12
"301",9,"planting_end","Southern",0,"2021",2022-03-22
"302",10,"planting_end","Southern",0,"2021",2022-04-02
"303",11,"planting_end","Southern",0,"2021",2022-04-12
"304",12,"planting_end","Southern",0,"2021",2022-04-22
"305",13,"planting_end","Southern",0,"2021",2022-05-02
"306",14,"planting_end","Southern",0,"2021",2022-05-12
"307",15,"planting_end","Southern",0,"2021",2022-05-22
"308",16,"planting_end","Southern",0,"2021",2022-06-02
"309",17,"planting_end","Southern",0,"2021",2022-06-12
"310",18,"planting_end","Southern",0,"2021",2022-06-22
"311",19,"planting_end","Southern",0,"2021",2022-07-02
"312",20,"planting_end","Southern",0,"2021",2022-07-12
"313",21,"planting_end","Southern",0,"2021",2022-07-22
"314",22,"planting_end","Southern",0,"2021",2022-08-02
"315",23,"planting_end","Southern",0,"2021",2022-08-12
"316",24,"planting_end","Southern",0,"2021",2022-08-22
"317",25,"planting_end","Southern",0,"2021",2021-09-02
"318",26,"planting_end","Southern",0,"2021",2021-09-12
"319",27,"planting_end","Southern",0,"2021",2021-09-22
"320",28,"planting_end","Southern",0,"2021",2021-10-02
"321",29,"planting_end","Southern",0,"2021",2021-10-12
"322",30,"planting_end","Southern",0,"2021",2021-10-22
"323",31,"planting_end","Southern",0,"2021",2021-11-02
"324",33,"planting_end","Southern",0,"2021",2021-11-22
"325",1,"planting_end","Western",45,"2021",2022-01-01
"326",2,"planting_end","Western",15,"2021",2022-01-11
"327",3,"planting_end","Western",1,"2021",2022-01-21
"328",5,"planting_end","Western",3,"2021",2022-02-11
"329",26,"planting_end","Western",1,"2021",2021-09-12
"330",30,"planting_end","Western",2,"2021",2021-10-22
"331",31,"planting_end","Western",1,"2021",2021-11-02
"332",32,"planting_end","Western",4,"2021",2021-11-12
"333",33,"planting_end","Western",9,"2021",2021-11-22
"334",34,"planting_end","Western",16,"2021",2021-12-02
"335",35,"planting_end","Western",57,"2021",2021-12-12
"336",36,"planting_end","Western",40,"2021",2021-12-22
"337",4,"planting_end","Western",0,"2021",2022-02-01
"338",6,"planting_end","Western",0,"2021",2022-02-21
"339",7,"planting_end","Western",0,"2021",2022-03-02
"340",8,"planting_end","Western",0,"2021",2022-03-12
"341",9,"planting_end","Western",0,"2021",2022-03-22
"342",10,"planting_end","Western",0,"2021",2022-04-02
"343",11,"planting_end","Western",0,"2021",2022-04-12
"344",12,"planting_end","Western",0,"2021",2022-04-22
"345",13,"planting_end","Western",0,"2021",2022-05-02
"346",14,"planting_end","Western",0,"2021",2022-05-12
"347",15,"planting_end","Western",0,"2021",2022-05-22
"348",16,"planting_end","Western",0,"2021",2022-06-02
"349",17,"planting_end","Western",0,"2021",2022-06-12
"350",18,"planting_end","Western",0,"2021",2022-06-22
"351",19,"planting_end","Western",0,"2021",2022-07-02
"352",20,"planting_end","Western",0,"2021",2022-07-12
"353",21,"planting_end","Western",0,"2021",2022-07-22
"354",22,"planting_end","Western",0,"2021",2022-08-02
"355",23,"planting_end","Western",0,"2021",2022-08-12
"356",24,"planting_end","Western",0,"2021",2022-08-22
"357",25,"planting_end","Western",0,"2021",2021-09-02
"358",27,"planting_end","Western",0,"2021",2021-09-22
"359",28,"planting_end","Western",0,"2021",2021-10-02
"360",29,"planting_end","Western",0,"2021",2021-10-12
"361",1,"planting_start","Copperbelt",1,"2021",2022-01-01
"362",2,"planting_start","Copperbelt",2,"2021",2022-01-11
"363",4,"planting_start","Copperbelt",2,"2021",2022-02-01
"364",30,"planting_start","Copperbelt",6,"2021",2021-10-22
"365",31,"planting_start","Copperbelt",15,"2021",2021-11-02
"366",32,"planting_start","Copperbelt",64,"2021",2021-11-12
"367",33,"planting_start","Copperbelt",14,"2021",2021-11-22
"368",34,"planting_start","Copperbelt",6,"2021",2021-12-02
"369",35,"planting_start","Copperbelt",3,"2021",2021-12-12
"370",3,"planting_start","Copperbelt",0,"2021",2022-01-21
"371",5,"planting_start","Copperbelt",0,"2021",2022-02-11
"372",6,"planting_start","Copperbelt",0,"2021",2022-02-21
"373",7,"planting_start","Copperbelt",0,"2021",2022-03-02
"374",8,"planting_start","Copperbelt",0,"2021",2022-03-12
"375",9,"planting_start","Copperbelt",0,"2021",2022-03-22
"376",10,"planting_start","Copperbelt",0,"2021",2022-04-02
"377",11,"planting_start","Copperbelt",0,"2021",2022-04-12
"378",12,"planting_start","Copperbelt",0,"2021",2022-04-22
"379",13,"planting_start","Copperbelt",0,"2021",2022-05-02
"380",14,"planting_start","Copperbelt",0,"2021",2022-05-12
"381",15,"planting_start","Copperbelt",0,"2021",2022-05-22
"382",16,"planting_start","Copperbelt",0,"2021",2022-06-02
"383",17,"planting_start","Copperbelt",0,"2021",2022-06-12
"384",18,"planting_start","Copperbelt",0,"2021",2022-06-22
"385",19,"planting_start","Copperbelt",0,"2021",2022-07-02
"386",20,"planting_start","Copperbelt",0,"2021",2022-07-12
"387",21,"planting_start","Copperbelt",0,"2021",2022-07-22
"388",22,"planting_start","Copperbelt",0,"2021",2022-08-02
"389",23,"planting_start","Copperbelt",0,"2021",2022-08-12
"390",24,"planting_start","Copperbelt",0,"2021",2022-08-22
"391",25,"planting_start","Copperbelt",0,"2021",2021-09-02
"392",26,"planting_start","Copperbelt",0,"2021",2021-09-12
"393",27,"planting_start","Copperbelt",0,"2021",2021-09-22
"394",28,"planting_start","Copperbelt",0,"2021",2021-10-02
"395",29,"planting_start","Copperbelt",0,"2021",2021-10-12
"396",36,"planting_start","Copperbelt",0,"2021",2021-12-22
"397",1,"planting_start","Luapula",1,"2021",2022-01-01
"398",4,"planting_start","Luapula",1,"2021",2022-02-01
"399",5,"planting_start","Luapula",1,"2021",2022-02-11
"400",28,"planting_start","Luapula",1,"2021",2021-10-02
"401",29,"planting_start","Luapula",1,"2021",2021-10-12
"402",30,"planting_start","Luapula",25,"2021",2021-10-22
"403",31,"planting_start","Luapula",17,"2021",2021-11-02
"404",32,"planting_start","Luapula",19,"2021",2021-11-12
"405",33,"planting_start","Luapula",7,"2021",2021-11-22
"406",35,"planting_start","Luapula",4,"2021",2021-12-12
"407",2,"planting_start","Luapula",0,"2021",2022-01-11
"408",3,"planting_start","Luapula",0,"2021",2022-01-21
"409",6,"planting_start","Luapula",0,"2021",2022-02-21
"410",7,"planting_start","Luapula",0,"2021",2022-03-02
"411",8,"planting_start","Luapula",0,"2021",2022-03-12
"412",9,"planting_start","Luapula",0,"2021",2022-03-22
"413",10,"planting_start","Luapula",0,"2021",2022-04-02
"414",11,"planting_start","Luapula",0,"2021",2022-04-12
"415",12,"planting_start","Luapula",0,"2021",2022-04-22
"416",13,"planting_start","Luapula",0,"2021",2022-05-02
"417",14,"planting_start","Luapula",0,"2021",2022-05-12
"418",15,"planting_start","Luapula",0,"2021",2022-05-22
"419",16,"planting_start","Luapula",0,"2021",2022-06-02
"420",17,"planting_start","Luapula",0,"2021",2022-06-12
"421",18,"planting_start","Luapula",0,"2021",2022-06-22
"422",19,"planting_start","Luapula",0,"2021",2022-07-02
"423",20,"planting_start","Luapula",0,"2021",2022-07-12
"424",21,"planting_start","Luapula",0,"2021",2022-07-22
"425",22,"planting_start","Luapula",0,"2021",2022-08-02
"426",23,"planting_start","Luapula",0,"2021",2022-08-12
"427",24,"planting_start","Luapula",0,"2021",2022-08-22
"428",25,"planting_start","Luapula",0,"2021",2021-09-02
"429",26,"planting_start","Luapula",0,"2021",2021-09-12
"430",27,"planting_start","Luapula",0,"2021",2021-09-22
"431",34,"planting_start","Luapula",0,"2021",2021-12-02
"432",36,"planting_start","Luapula",0,"2021",2021-12-22
"433",1,"planting_start","North-Western",1,"2021",2022-01-01
"434",29,"planting_start","North-Western",3,"2021",2021-10-12
"435",30,"planting_start","North-Western",8,"2021",2021-10-22
"436",31,"planting_start","North-Western",19,"2021",2021-11-02
"437",32,"planting_start","North-Western",33,"2021",2021-11-12
"438",33,"planting_start","North-Western",4,"2021",2021-11-22
"439",2,"planting_start","North-Western",0,"2021",2022-01-11
"440",3,"planting_start","North-Western",0,"2021",2022-01-21
"441",4,"planting_start","North-Western",0,"2021",2022-02-01
"442",5,"planting_start","North-Western",0,"2021",2022-02-11
"443",6,"planting_start","North-Western",0,"2021",2022-02-21
"444",7,"planting_start","North-Western",0,"2021",2022-03-02
"445",8,"planting_start","North-Western",0,"2021",2022-03-12
"446",9,"planting_start","North-Western",0,"2021",2022-03-22
"447",10,"planting_start","North-Western",0,"2021",2022-04-02
"448",11,"planting_start","North-Western",0,"2021",2022-04-12
"449",12,"planting_start","North-Western",0,"2021",2022-04-22
"450",13,"planting_start","North-Western",0,"2021",2022-05-02
"451",14,"planting_start","North-Western",0,"2021",2022-05-12
"452",15,"planting_start","North-Western",0,"2021",2022-05-22
"453",16,"planting_start","North-Western",0,"2021",2022-06-02
"454",17,"planting_start","North-Western",0,"2021",2022-06-12
"455",18,"planting_start","North-Western",0,"2021",2022-06-22
"456",19,"planting_start","North-Western",0,"2021",2022-07-02
"457",20,"planting_start","North-Western",0,"2021",2022-07-12
"458",21,"planting_start","North-Western",0,"2021",2022-07-22
"459",22,"planting_start","North-Western",0,"2021",2022-08-02
"460",23,"planting_start","North-Western",0,"2021",2022-08-12
"461",24,"planting_start","North-Western",0,"2021",2022-08-22
"462",25,"planting_start","North-Western",0,"2021",2021-09-02
"463",26,"planting_start","North-Western",0,"2021",2021-09-12
"464",27,"planting_start","North-Western",0,"2021",2021-09-22
"465",28,"planting_start","North-Western",0,"2021",2021-10-02
"466",34,"planting_start","North-Western",0,"2021",2021-12-02
"467",35,"planting_start","North-Western",0,"2021",2021-12-12
"468",36,"planting_start","North-Western",0,"2021",2021-12-22
"469",1,"prep_end","Central",7,"2021",2022-01-01
"470",3,"prep_end","Central",1,"2021",2022-01-21
"471",4,"prep_end","Central",1,"2021",2022-02-01
"472",26,"prep_end","Central",1,"2021",2021-09-12
"473",27,"prep_end","Central",1,"2021",2021-09-22
"474",28,"prep_end","Central",3,"2021",2021-10-02
"475",29,"prep_end","Central",10,"2021",2021-10-12
"476",30,"prep_end","Central",23,"2021",2021-10-22
"477",31,"prep_end","Central",17,"2021",2021-11-02
"478",32,"prep_end","Central",13,"2021",2021-11-12
"479",33,"prep_end","Central",12,"2021",2021-11-22
