"year","month","1","2","3","4","5","6","7","8","9","10"
"2011","Apr",6522.95508523871,7039.68656955027,6775.80056392055,6582.42336628809,6474.47062070312,6820.7636851337,7174.85587512152,6816.25446083165,5762.97158259557,5798.78733572923
"2011","Aug",3718.65922150543,4054.05199573269,3321.98849363419,3815.00981376028,3681.02166047182,3998.22454425524,4539.99253400291,3937.7458382294,3117.19963600441,3504.62966791982
"2011","Dec",6527.55565218145,6633.1770683816,5944.3109110632,6191.41866997744,6007.5842958403,6325.37880003619,6778.24450955369,6454.09478746113,5293.46906360749,5976.46506520655
"2011","Feb",7101.51725497579,7571.18723884848,7000.33946557359,6406.02066056974,6876.40484069818,6566.22804735522,7487.73400312039,6793.6026718483,6654.34873023174,6265.34194128099
"2011","Jan",6020.53483457412,6275.16878601127,6806.94977855102,6682.61014019162,6093.16286974017,6750.17506368582,6124.14030993066,6934.0943636946,5452.5054275834,5228.7581805449
"2011","Jul",4204.40103961329,4638.66979734086,3891.43891368482,4668.93313593027,4177.57840591609,4609.20797906371,5121.76602054087,4606.88974012226,3438.60202808838,3813.53130794006
"2011","Jun",4912.90194167109,5424.83989638563,4721.58621598652,5552.68235438879,4835.13622944199,5412.00841032169,5816.05609714202,5427.64292475765,4060.31787221286,4499.24148407336
"2011","Mar",6993.3315850456,7623.6485174224,6929.08404351557,6809.51308281248,7058.3978848158,6926.60297271864,7487.15141481143,7096.08550897874,6451.83580528464,6196.03517467049
"2011","May",5736.18699556613,6231.30770044865,5830.67436033371,6067.38613932535,5557.69596041805,6152.71851865832,6547.45902959515,6182.66261988063,4925.26756732679,5304.28423038737
"2011","Nov",5096.21813094789,5895.08794558172,4352.42936529802,5758.22461459904,4345.96858651193,5065.1188554695,6396.17310625115,6139.429552839,3505.99505729844,4621.37316027218
"2011","Oct",4253.89608896436,5217.83877019612,3544.9985646027,4867.98526996207,3609.68833476961,4016.67454192853,5799.57405162081,4835.93945939415,3176.83841090322,4274.02614138749
"2011","Sep",3745.33452346392,4597.4399811563,3230.79945608684,4107.22730873604,3449.68756598395,3701.22832524779,4925.20243409262,4070.68632248606,3002.61007279547,3758.68975058613
"2012","Apr",6571.07944720395,7129.00816029608,6844.24017589609,6684.60881298364,6660.1527638663,6903.74179583619,6986.46229049122,6750.79841096102,5647.98796456765,5485.446029833
"2012","Aug",3744.63794392106,4193.9859854238,3385.6011237899,4052.38989431871,3522.69094863075,4077.51680706299,4537.08687826351,4120.23228211541,2981.15448988471,3502.08493936709
"2012","Dec",5878.33143729621,6703.79281764211,5449.62738116399,5959.88494335481,5694.58721931035,5882.82047026151,6316.80216452044,6225.78773728545,5167.92091285784,5404.82706403217
"2012","Feb",7176.29066570959,7183.73742610404,7238.45595755589,6435.63058717603,7301.93253853892,6932.45361512194,7289.35449601856,6997.6258730809,6661.42644074218,6242.39204732362
"2012","Jan",6773.83705583731,7175.81363550133,6555.6512616785,6309.52150084219,6778.69119972267,6542.45609476349,7301.1463488293,6690.51988078603,6179.6082224261,5980.91985358353
"2012","Jul",4210.91941938121,4606.80780894374,3929.73819971955,4693.1994313465,4027.93820588037,4735.19979893773,4920.23741194573,4558.11941740979,3324.34211732504,3833.90850476409
"2012","Jun",4826.52443057516,5345.17284003649,4583.14757798176,5434.14528392211,4689.00597793336,5354.49175340821,5490.46727162502,5235.86470434045,3825.40740053612,4264.19882793433
"2012","Mar",6542.39582388524,6992.15864707572,7209.42439951602,5976.03605838927,6960.8765005092,6785.26920699493,7148.12022824898,6588.63000804587,6489.27149476821,6125.40991726082
"2012","May",5610.06783517992,6160.03830569464,5647.98568607804,6226.43755267668,5608.33838695778,6178.86139134615,6239.6405323601,6080.07865982105,4509.54252316192,4847.23856067732
"2012","Nov",5104.14516794956,6087.88386866713,4281.77853108007,5468.75732018977,4030.19338833664,5114.18751271346,6642.37098711743,5523.3255364108,3779.42097848383,4857.16948651426
"2012","Oct",4355.6599504399,5356.18953742607,3359.74107552051,5125.91703801924,3475.26019790897,4207.5807329728,6000.21286795444,4959.17603741456,3174.18134439937,4395.45274995214
"2012","Sep",3776.27320373508,4722.63741404654,3147.02428361018,4236.92547381473,3277.39953185492,3745.04506800772,5146.88022674416,4124.10384122664,2875.75396160672,3701.16444727936
"2013","Apr",6316.27054644355,6980.06600983338,6374.41218587601,6548.34107535854,6217.1211439938,6891.54194376537,6979.1144464679,6893.91191270271,5262.56900581287,5373.71420302088
"2013","Aug",3635.61598006584,4045.7047958225,3165.94705420939,3758.22546670799,3483.38591555493,4020.39320887657,4542.85551603453,3960.23986808693,2954.99427880504,3503.54016387182
